name,n,smiles
TFMA-HFIP,1.347 ,C=C(C(=O)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F
TFMA-TFOL,1.376 ,C=C(C(=O)OCC(F)(F)F)C(F)(F)F
HFIP-M,1.380 ,C=C(C)C(=O)OC(C(F)(F)F)C(F)(F)F
1-2-H,1.425 ,C=C(C)C(=O)OCC(F)(F)C(F)F
1-4-H,1.397 ,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F
1-6-H,1.380 ,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
1-2-F,1.393 ,C=C(C)C(=O)OCC(F)(F)C(F)(F)F
1-3-F,1.388 ,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
1-4-F,1.378 ,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2-4-F,1.385 ,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2-6-F,1.373 ,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
MA35-PHOH,1.438 ,C=C(C)C(=O)Oc1cc(C(O)(C(F)(F)F)C(F)(F)F)cc(C(O)(C(F)(F)F)C(F)(F)F)c1
MA35-CHOH,1.417 ,C=C(C)C(=O)OC1CC(C(O)(C(F)(F)F)C(F)(F)F)CC(C(O)(C(F)(F)F)C(F)(F)F)C1
MMA,1.491 ,C=C(C)C(=O)OC
ｽﾁﾚﾝ,1.592 ,C=Cc1ccccc1
酢酸ﾋﾞﾆﾙ,1.467 ,C=COC(C)=O
