,smiles,refractive-index,GWP100,log(GWP100),log(LT),log(RE),log(lip),log(sol)
0,C=C(C)C(=O)OCC(F)F,1.5102514029,2.3527743287,0.3715802729,-0.7696998119,-1.0912030935,0.0183999687,-1.2161667347
1,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)F,1.3853530884,6.0048516896,0.7785022855,-0.5329584479,-0.5728799105,0.4566215277,-2.8872923851
2,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.3607865572,3.5033227149,0.544480145,-0.3628952503,-0.6971009374,0.5272142887,-3.501502037
3,C=C(C)C(=O)OCC(F)(F)F,1.4354480505,0.7672512274,-0.1150624081,-1.1212502718,-1.0964272022,0.3467818797,-1.7527478933
4,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.32414186,0.3317809628,-0.4791485369,-1.1304049492,-1.1178910732,0.4844579995,-3.1035301685
5,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.3022967577,0.3007067765,-0.5218567848,-1.08662045,-1.1217982769,0.4901629984,-3.3098125458
6,C=C(C)C(=O)OCCC(F)(F)F,1.4738373756,0.1872832878,-0.7275009751,-2.0733799934,-1.1922460794,0.0357540399,-1.8688212633
7,C=C(C)C(=O)OCCC(F)(F)C(F)(F)F,1.4427953959,0.253718914,-0.5956471562,-1.9433327913,-1.2283763885,-0.0155188898,-2.2656993866
8,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)F,1.403844595,0.1666941547,-0.7780796289,-1.9075261354,-1.1897104979,-0.0209381133,-2.5988864899
9,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.3655786514,0.0934105486,-1.0296040773,-1.8680033684,-1.2041991949,-0.0022362927,-3.0769572258
10,C=C(C)C(=O)OCCF,1.2831844091,0.1409303849,-0.8509953618,-2.6955912113,-0.8313220143,-0.0026928345,-1.1533898115
11,C=C(C)C(=O)OCCF,1.2831844091,0.1409303849,-0.8509953618,-2.6955912113,-0.8313220143,-0.0026928345,-1.1533898115
12,C=C(C)C(=O)OCCC(F)F,1.3278896809,1.0646137274,0.0271920618,-1.476498723,-0.9454931617,-0.1000559479,-1.0639207363
13,C=C(C)C(=O)OCC(F)(F)CC(F)(F)CC(F)F,1.4246834517,6.5685107446,0.8174669147,-0.2785747051,-0.4686036706,0.0100799939,-2.6971940994
14,C=C(C)C(=O)OCC(F)(F)F,1.4354480505,0.7672512274,-0.1150624081,-1.1212502718,-1.0964272022,0.3467818797,-1.7527478933
15,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.32414186,0.3317809628,-0.4791485369,-1.1304049492,-1.1178910732,0.4844579995,-3.1035301685
16,C=C(C)C(=O)OCC(F)(F)C(F)(F)CC(F)(F)CC,1.5266088247,1.7113344147,0.233334884,-1.5956398249,-0.9984698296,0.2574006319,-2.6768209934
17,C=C(C)C(=O)OCCC(F)(F)F,1.4738373756,0.1872832878,-0.7275009751,-2.0733799934,-1.1922460794,0.0357540399,-1.8688212633
18,C=C(C)C(=O)OCCC(F)(F)C,1.4808932543,0.241534059,-0.6170216203,-1.9292997122,-1.1346629858,-0.1811223477,-1.7805585861
19,C=C(C)C(=O)OCCCC(F)(F)C,1.4804335833,0.1548036686,-0.8102187514,-2.0337512493,-1.0273272991,-0.1037748903,-2.1066095829
20,C=C(C)C(=O)OCCC(F)(F)CCCCF,1.4320117235,0.2233325962,-0.6510478854,-2.102159977,-0.8251117468,-0.1970168501,-3.0073435307
21,C=C(C)C(=O)OCC(F)F,1.5102514029,2.3527743287,0.3715802729,-0.7696998119,-1.0912030935,0.0183999687,-1.2161667347
22,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)F,1.3853530884,6.0048516896,0.7785022855,-0.5329584479,-0.5728799105,0.4566215277,-2.8872923851
23,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.3607865572,3.5033227149,0.544480145,-0.3628952503,-0.6971009374,0.5272142887,-3.501502037
24,C=C(C)C(=O)OCC(F)(F)F,1.4354480505,0.7672512274,-0.1150624081,-1.1212502718,-1.0964272022,0.3467818797,-1.7527478933
25,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.32414186,0.3317809628,-0.4791485369,-1.1304049492,-1.1178910732,0.4844579995,-3.1035301685
26,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.260160327,0.2737997605,-0.562566936,-1.0031424761,-1.1316312551,0.4805382788,-3.6228814125
27,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2392882109,0.263914898,-0.5785360932,-0.9597452283,-1.1355752945,0.4685046971,-3.7405557632
28,C=C(C)C(=O)OCCC(F)(F)C(F)F,1.4241253138,1.8046544571,0.2563940585,-1.1448081732,-0.8401415348,0.0187302977,-2.4821178913
29,C=C(C)C(=O)OCCC(F)(F)C(F)C(F)F,1.4379467964,2.1405937327,0.3305342495,-1.1423184872,-0.7817034721,-0.0230039209,-2.6404700279
30,C=C(C)C(=O)OCCCCCCCF,1.3075135946,0.1667424798,-0.7779537439,-2.5856049061,-0.8651227355,0.0637936145,-3.7641282082
